comment,Comment to English,Emoji to text
  ধন্যবাদ ভাই।  এয়ারপোর্টে যেতে হলে উত্তরা কোন স্তেশনে নামলে সহজে যাওয়া যাবে বলবেন প্লিস???,"thanks brother. If you want to go to the airport, you can easily go to any level of Uttara, please ???"," thanks brother. If you want to go to the airport, you can easily go to any level of Uttara, please ???"
  আশা করি সেপ্টেম্বরের প্রথম সপ্তাহে দেখতে পাবেন। সাথেই থাকু, hope to see the first week of September. With, hope to see the first week of September. With
  কোনটাই সহজ হবে না।  সবটাই এয়ারপোর্ট থেকে দূরে তবে আপনি উত্তরা সেন্টার স্টেশনে নেমে অটো নিয়ে বাউনিয়া হয়ে যেতে পারবেন।," will not be easy. All away from the airport, but you can get down to Uttara Center station and become a bunia with auto."," will not be easy. All away from the airport, but you can get down to Uttara Center station and become a bunia with auto."
  Agargaon to Uttara, Agargaon to Uttara, Agargaon to Uttara
nice to see you in Bangladesh again. You really like Bangladesh?!!  I like your video  very much.,nice to see you in Bangladesh again. You really like Bangladesh?!!  I like your video  very much.,nice to see you in Bangladesh again. You really like Bangladesh?!!  I like your video  very much.
Your Bengali speaking is very good 😊😊😊. I also learn some Romanian 😁😁😁,Your Bengali speaking is very good 😊😊😊. I also learn some Romanian 😁😁😁,Your Bengali speaking is very good smiling face with smiling eyessmiling face with smiling eyessmiling face with smiling eyes. I also learn some Romanian beaming face with smiling eyesbeaming face with smiling eyesbeaming face with smiling eyes
আমার সো-সোনার বাংলাদেশ!,My so-gold Bangladesh!,My so-gold Bangladesh!
এই অনৈতিক কাজের নিউজ ও জবাব দিহি আশা করছি 😐,Hope the news and reply to this immoral act,Hope the news and reply to this immoral act
- জসীম উদ্‌দীন---হাসু,-Jasim Uddin --- smile,-Jasim Uddin --- smile
... Sihab,... sihab,... sihab
... Sihab,... sihab,... sihab
”আমরা করব জয়,"""We will win","""We will win"
（What a great anniversary! !）,（What a great anniversary! !）,（What a great anniversary! !）
[] Bangladesh Prime Minister Sheikh Hasina is beyond doubt boldest & brightest leader by dint of her pragmatic dauntless monumental approach towards development super high way defying every short of stumbling blocks of home & abroad. [],[] Bangladesh Prime Minister Sheikh Hasina is beyond doubt boldest & brightest leader by dint of her pragmatic dauntless monumental approach towards development super high way defying every short of stumbling blocks of home & abroad. [],[] Bangladesh Prime Minister Sheikh Hasina is beyond doubt boldest & brightest leader by dint of her pragmatic dauntless monumental approach towards development super high way defying every short of stumbling blocks of home & abroad. []
[] Sheikh Hasina has bigger fish to fry and it's a hot button for the opposition. [] সক্ষমতার আরেক দৃষ্টান্ত,[] Sheikh Hasina has bigger fish to fry and it's a hot button for the opposition. [] Another example of ability,[] Sheikh Hasina has bigger fish to fry and it's a hot button for the opposition. [] Another example of ability
৫-১০ মিনিট পরে পরে ট্রেন আছে...,After 3-5 minutes there are train ...,After 3-5 minutes there are train ...
ভাড়া ৪০/- আর সকল ৮ টা থেকে চলে..,The rent is 1/- and all goes from 5pm ..,The rent is 1/- and all goes from 5pm ..
thle kon kon jaiga theke train jai blben please....,Thle kon kon jaiga theke train jai blben please ....,Thle kon kon jaiga theke train jai blben please ....
#অনেক_সুন্দর_ভিডিও,#Many_sunder_video,#Many_sunder_video
•• sounds well,•• sounds well,•• sounds well
°°,°°,°°
<<< আগারগাঁও-মতিঝিল: আপাতত খুলবে যে ৩টি স্টেশন | Metro Rail | Agargaon to Motijheel | Ekhon TV  >>>,<<< Agargaon-Motijheel: 1 station that will open now Metro Rail | Agargaon to Motijheel | Ekhon tv >>>,<<< Agargaon-Motijheel: 1 station that will open now Metro Rail | Agargaon to Motijheel | Ekhon tv >>>
<<< গড়ে ২৪ লাখ মানুষ ব্যবহার করে মেট্রোরেল | Dhaka Metro Rail | ATN News >>>,<<< Metrorail uses an average of 2 million people Dhaka Metro Rail | ATN NEWS >>>,<<< Metrorail uses an average of 2 million people Dhaka Metro Rail | ATN NEWS >>>
♥️👍,♥️👍,heart suitthumbs up
