comment,Comment to English,Emoji to text,prediction,max_sentiment_label,max_sentiment_value
  ধন্যবাদ ভাই।  এয়ারপোর্টে যেতে হলে উত্তরা কোন স্তেশনে নামলে সহজে যাওয়া যাবে বলবেন প্লিস???,"thanks brother. If you want to go to the airport, you can easily go to any level of Uttara, please ???"," thanks brother. If you want to go to the airport, you can easily go to any level of Uttara, please ???","{'neg': 0.0, 'neu': 0.643, 'pos': 0.357, 'compound': 0.8146}",compound,0.8146
  আশা করি সেপ্টেম্বরের প্রথম সপ্তাহে দেখতে পাবেন। সাথেই থাকু, hope to see the first week of September. With, hope to see the first week of September. With,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}",neu,0.734
  কোনটাই সহজ হবে না।  সবটাই এয়ারপোর্ট থেকে দূরে তবে আপনি উত্তরা সেন্টার স্টেশনে নেমে অটো নিয়ে বাউনিয়া হয়ে যেতে পারবেন।," will not be easy. All away from the airport, but you can get down to Uttara Center station and become a bunia with auto."," will not be easy. All away from the airport, but you can get down to Uttara Center station and become a bunia with auto.","{'neg': 0.069, 'neu': 0.931, 'pos': 0.0, 'compound': -0.1786}",neu,0.931
  Agargaon to Uttara, Agargaon to Uttara, Agargaon to Uttara,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
nice to see you in Bangladesh again. You really like Bangladesh?!!  I like your video  very much.,nice to see you in Bangladesh again. You really like Bangladesh?!!  I like your video  very much.,nice to see you in Bangladesh again. You really like Bangladesh?!!  I like your video  very much.,"{'neg': 0.0, 'neu': 0.617, 'pos': 0.383, 'compound': 0.8261}",compound,0.8261
Your Bengali speaking is very good 😊😊😊. I also learn some Romanian 😁😁😁,Your Bengali speaking is very good 😊😊😊. I also learn some Romanian 😁😁😁,Your Bengali speaking is very good smiling face with smiling eyessmiling face with smiling eyessmiling face with smiling eyes. I also learn some Romanian beaming face with smiling eyesbeaming face with smiling eyesbeaming face with smiling eyes,"{'neg': 0.0, 'neu': 0.542, 'pos': 0.458, 'compound': 0.9735}",compound,0.9735
আমার সো-সোনার বাংলাদেশ!,My so-gold Bangladesh!,My so-gold Bangladesh!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
এই অনৈতিক কাজের নিউজ ও জবাব দিহি আশা করছি 😐,Hope the news and reply to this immoral act,Hope the news and reply to this immoral act,"{'neg': 0.261, 'neu': 0.522, 'pos': 0.216, 'compound': -0.1531}",neu,0.522
- জসীম উদ্‌দীন---হাসু,-Jasim Uddin --- smile,-Jasim Uddin --- smile,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",neu,0.545
... Sihab,... sihab,... sihab,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
